maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency
1,15,475,success,None,11/Aug/2026:17:21:03.538780,11/Aug/2026:17:21:04.696840,1.1581
1,15,493,success,None,11/Aug/2026:17:21:04.697766,11/Aug/2026:17:21:05.928860,1.2311
1,15,509,success,None,11/Aug/2026:17:21:05.929794,11/Aug/2026:17:21:07.272166,1.3424
1,15,524,success,None,11/Aug/2026:17:21:07.273123,11/Aug/2026:17:21:08.529435,1.2563
1,15,544,success,None,11/Aug/2026:17:21:08.530352,11/Aug/2026:17:21:09.837379,1.3070
1,15,562,success,None,11/Aug/2026:17:21:09.838328,11/Aug/2026:17:21:11.029936,1.1916
1,15,580,success,None,11/Aug/2026:17:21:11.030848,11/Aug/2026:17:21:12.326212,1.2954
2,5,5,success,None,11/Aug/2026:17:21:12.328041,11/Aug/2026:17:21:13.134280,0.8062
2,5,35,success,None,11/Aug/2026:17:21:12.328214,11/Aug/2026:17:21:13.444791,1.1166
2,5,102,success,None,11/Aug/2026:17:21:13.134596,11/Aug/2026:17:21:14.174863,1.0403
2,5,109,success,None,11/Aug/2026:17:21:13.445067,11/Aug/2026:17:21:14.303843,0.8588
2,5,145,success,None,11/Aug/2026:17:21:14.304117,11/Aug/2026:17:21:14.941648,0.6375
2,5,140,success,None,11/Aug/2026:17:21:14.175151,11/Aug/2026:17:21:15.198684,1.0235
2,5,165,success,None,11/Aug/2026:17:21:14.941928,11/Aug/2026:17:21:15.458456,0.5165
2,5,172,success,None,11/Aug/2026:17:21:15.198995,11/Aug/2026:17:21:15.770774,0.5718
2,5,186,success,None,11/Aug/2026:17:21:15.458725,11/Aug/2026:17:21:16.000562,0.5418
2,5,198,success,None,11/Aug/2026:17:21:15.771064,11/Aug/2026:17:21:16.495427,0.7244
2,5,210,success,None,11/Aug/2026:17:21:16.000850,11/Aug/2026:17:21:16.500392,0.4995
2,5,244,success,None,11/Aug/2026:17:21:16.500701,11/Aug/2026:17:21:17.077717,0.5770
2,5,229,success,None,11/Aug/2026:17:21:16.495726,11/Aug/2026:17:21:17.082366,0.5866
2,5,262,success,None,11/Aug/2026:17:21:17.078011,11/Aug/2026:17:21:17.619659,0.5416
2,5,276,success,None,11/Aug/2026:17:21:17.082644,11/Aug/2026:17:21:17.641736,0.5591
2,5,294,success,None,11/Aug/2026:17:21:17.619942,11/Aug/2026:17:21:18.232737,0.6128
2,5,310,success,None,11/Aug/2026:17:21:17.642015,11/Aug/2026:17:21:18.240526,0.5985
2,5,321,success,None,11/Aug/2026:17:21:18.233037,11/Aug/2026:17:21:18.732030,0.4990
2,5,363,success,None,11/Aug/2026:17:21:18.240815,11/Aug/2026:17:21:18.748179,0.5074
2,5,377,success,None,11/Aug/2026:17:21:18.732329,11/Aug/2026:17:21:19.225933,0.4936
2,5,416,success,None,11/Aug/2026:17:21:18.748453,11/Aug/2026:17:21:19.253787,0.5053
2,5,422,success,None,11/Aug/2026:17:21:19.226214,11/Aug/2026:17:21:19.735979,0.5098
2,5,437,success,None,11/Aug/2026:17:21:19.254087,11/Aug/2026:17:21:19.868275,0.6142
2,5,445,success,None,11/Aug/2026:17:21:19.736271,11/Aug/2026:17:21:20.152579,0.4163
2,5,457,success,None,11/Aug/2026:17:21:19.868593,11/Aug/2026:17:21:20.323451,0.4549
2,5,467,success,None,11/Aug/2026:17:21:20.152875,11/Aug/2026:17:21:20.565784,0.4129
2,5,508,success,None,11/Aug/2026:17:21:20.323771,11/Aug/2026:17:21:20.827708,0.5039
2,5,566,success,None,11/Aug/2026:17:21:20.566070,11/Aug/2026:17:21:20.999850,0.4338
2,5,574,success,None,11/Aug/2026:17:21:20.827990,11/Aug/2026:17:21:21.240185,0.4122
2,5,579,success,None,11/Aug/2026:17:21:21.000150,11/Aug/2026:17:21:21.368593,0.3684
2,10,25,success,None,11/Aug/2026:17:21:21.370013,11/Aug/2026:17:21:22.602502,1.2325
2,10,12,success,None,11/Aug/2026:17:21:21.369795,11/Aug/2026:17:21:22.920450,1.5506
2,10,43,success,None,11/Aug/2026:17:21:22.603413,11/Aug/2026:17:21:23.696229,1.0928
2,10,59,success,None,11/Aug/2026:17:21:22.921147,11/Aug/2026:17:21:23.942275,1.0211
2,10,69,success,None,11/Aug/2026:17:21:23.697157,11/Aug/2026:17:21:24.686480,0.9893
2,10,86,success,None,11/Aug/2026:17:21:23.942871,11/Aug/2026:17:21:25.044024,1.1011
2,10,97,success,None,11/Aug/2026:17:21:24.687420,11/Aug/2026:17:21:25.688814,1.0014
2,10,108,success,None,11/Aug/2026:17:21:25.044610,11/Aug/2026:17:21:26.093424,1.0488
2,10,149,success,None,11/Aug/2026:17:21:25.689779,11/Aug/2026:17:21:26.726832,1.0370
2,10,161,success,None,11/Aug/2026:17:21:26.094007,11/Aug/2026:17:21:26.941949,0.8479
2,10,173,success,None,11/Aug/2026:17:21:26.727723,11/Aug/2026:17:21:27.662652,0.9349
2,10,183,success,None,11/Aug/2026:17:21:26.942564,11/Aug/2026:17:21:28.090360,1.1478
2,10,195,success,None,11/Aug/2026:17:21:27.663568,11/Aug/2026:17:21:28.653931,0.9904
2,10,229,success,None,11/Aug/2026:17:21:28.090914,11/Aug/2026:17:21:28.988388,0.8975
2,10,244,success,None,11/Aug/2026:17:21:28.654835,11/Aug/2026:17:21:29.622113,0.9673
2,10,265,success,None,11/Aug/2026:17:21:28.988981,11/Aug/2026:17:21:29.837611,0.8486
2,10,304,success,None,11/Aug/2026:17:21:29.623020,11/Aug/2026:17:21:30.473993,0.8510
2,10,318,success,None,11/Aug/2026:17:21:29.838193,11/Aug/2026:17:21:30.963613,1.1254
2,10,334,success,None,11/Aug/2026:17:21:30.474913,11/Aug/2026:17:21:31.477687,1.0028
2,10,350,success,None,11/Aug/2026:17:21:30.964171,11/Aug/2026:17:21:31.874425,0.9102
2,10,380,success,None,11/Aug/2026:17:21:31.478598,11/Aug/2026:17:21:32.209148,0.7305
2,10,406,success,None,11/Aug/2026:17:21:31.875018,11/Aug/2026:17:21:32.785031,0.9100
2,10,416,success,None,11/Aug/2026:17:21:32.210133,11/Aug/2026:17:21:33.121820,0.9117
2,10,436,success,None,11/Aug/2026:17:21:32.785586,11/Aug/2026:17:21:33.518436,0.7328
2,10,474,success,None,11/Aug/2026:17:21:33.122784,11/Aug/2026:17:21:34.251874,1.1291
2,10,489,success,None,11/Aug/2026:17:21:33.519013,11/Aug/2026:17:21:34.301784,0.7828
2,10,537,success,None,11/Aug/2026:17:21:34.302317,11/Aug/2026:17:21:35.409681,1.1074
2,10,503,success,None,11/Aug/2026:17:21:34.252820,11/Aug/2026:17:21:35.441470,1.1886
2,10,561,success,None,11/Aug/2026:17:21:35.410270,11/Aug/2026:17:21:36.395901,0.9856
2,10,589,success,None,11/Aug/2026:17:21:35.442427,11/Aug/2026:17:21:36.412605,0.9702
2,15,3,success,None,11/Aug/2026:17:21:36.421436,11/Aug/2026:17:21:38.205668,1.7842
2,15,21,success,None,11/Aug/2026:17:21:36.421689,11/Aug/2026:17:21:38.292113,1.8704
2,15,37,success,None,11/Aug/2026:17:21:38.206637,11/Aug/2026:17:21:39.545979,1.3393
