maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency
2,10,268,success,None,10/Aug/2026:11:57:58.917407,10/Aug/2026:11:57:59.229797,0.3124
2,10,285,success,None,10/Aug/2026:11:57:59.220338,10/Aug/2026:11:57:59.552162,0.3318
2,10,312,success,None,10/Aug/2026:11:57:59.230103,10/Aug/2026:11:57:59.581221,0.3511
2,10,347,success,None,10/Aug/2026:11:57:59.552367,10/Aug/2026:11:57:59.783935,0.2316
2,10,358,success,None,10/Aug/2026:11:57:59.581532,10/Aug/2026:11:57:59.981554,0.4000
2,15,0,success,None,10/Aug/2026:11:57:59.982716,10/Aug/2026:11:58:00.353988,0.3713
2,15,15,success,None,10/Aug/2026:11:57:59.982903,10/Aug/2026:11:58:00.383581,0.4007
2,15,32,success,None,10/Aug/2026:11:58:00.354341,10/Aug/2026:11:58:00.770085,0.4157
2,15,49,success,None,10/Aug/2026:11:58:00.383906,10/Aug/2026:11:58:00.780067,0.3962
2,15,72,success,None,10/Aug/2026:11:58:00.770431,10/Aug/2026:11:58:01.032175,0.2617
2,15,93,success,None,10/Aug/2026:11:58:00.780376,10/Aug/2026:11:58:01.270131,0.4898
2,15,110,success,None,10/Aug/2026:11:58:01.032534,10/Aug/2026:11:58:01.365804,0.3333
2,15,144,success,None,10/Aug/2026:11:58:01.366170,10/Aug/2026:11:58:01.851371,0.4852
2,15,128,success,None,10/Aug/2026:11:58:01.270453,10/Aug/2026:11:58:01.851936,0.5815
2,15,180,success,None,10/Aug/2026:11:58:01.852248,10/Aug/2026:11:58:02.154946,0.3027
2,15,161,success,None,10/Aug/2026:11:58:01.851694,10/Aug/2026:11:58:02.288771,0.4371
2,15,195,success,None,10/Aug/2026:11:58:02.155285,10/Aug/2026:11:58:02.396430,0.2411
2,15,214,success,None,10/Aug/2026:11:58:02.289121,10/Aug/2026:11:58:02.636062,0.3469
2,15,232,success,None,10/Aug/2026:11:58:02.396797,10/Aug/2026:11:58:02.782869,0.3861
2,15,256,success,None,10/Aug/2026:11:58:02.636333,10/Aug/2026:11:58:02.937342,0.3010
2,15,275,success,None,10/Aug/2026:11:58:02.783191,10/Aug/2026:11:58:03.130215,0.3470
2,15,294,success,None,10/Aug/2026:11:58:02.937690,10/Aug/2026:11:58:03.283779,0.3461
2,15,309,success,None,10/Aug/2026:11:58:03.130562,10/Aug/2026:11:58:03.433413,0.3029
2,15,328,success,None,10/Aug/2026:11:58:03.284169,10/Aug/2026:11:58:03.610335,0.3262
2,15,353,success,None,10/Aug/2026:11:58:03.433764,10/Aug/2026:11:58:03.756590,0.3228
5,5,3,success,None,10/Aug/2026:11:58:03.772248,10/Aug/2026:11:58:04.016685,0.2444
5,5,23,success,None,10/Aug/2026:11:58:03.772399,10/Aug/2026:11:58:04.148524,0.3761
5,5,73,success,None,10/Aug/2026:11:58:03.772937,10/Aug/2026:11:58:04.154578,0.3816
5,5,57,success,None,10/Aug/2026:11:58:03.772531,10/Aug/2026:11:58:04.187117,0.4146
5,5,94,success,None,10/Aug/2026:11:58:04.016704,10/Aug/2026:11:58:04.200568,0.1839
5,5,64,success,None,10/Aug/2026:11:58:03.772620,10/Aug/2026:11:58:04.244794,0.4722
5,5,128,success,None,10/Aug/2026:11:58:04.154591,10/Aug/2026:11:58:04.267226,0.1126
5,5,148,success,None,10/Aug/2026:11:58:04.187139,10/Aug/2026:11:58:04.387214,0.2001
5,5,161,success,None,10/Aug/2026:11:58:04.200585,10/Aug/2026:11:58:04.410828,0.2102
5,5,116,success,None,10/Aug/2026:11:58:04.148546,10/Aug/2026:11:58:04.412425,0.2639
5,5,166,success,None,10/Aug/2026:11:58:04.244809,10/Aug/2026:11:58:04.550247,0.3054
5,5,200,success,None,10/Aug/2026:11:58:04.387228,10/Aug/2026:11:58:04.550475,0.1632
5,5,275,success,None,10/Aug/2026:11:58:04.412435,10/Aug/2026:11:58:04.582569,0.1701
5,5,172,success,None,10/Aug/2026:11:58:04.267239,10/Aug/2026:11:58:04.592023,0.3248
5,5,216,success,None,10/Aug/2026:11:58:04.410843,10/Aug/2026:11:58:04.696538,0.2857
5,5,309,success,None,10/Aug/2026:11:58:04.550270,10/Aug/2026:11:58:04.762523,0.2123
5,5,316,success,None,10/Aug/2026:11:58:04.550485,10/Aug/2026:11:58:04.783972,0.2335
5,5,321,success,None,10/Aug/2026:11:58:04.582595,10/Aug/2026:11:58:04.831192,0.2486
5,5,328,success,None,10/Aug/2026:11:58:04.592041,10/Aug/2026:11:58:04.832636,0.2406
5,5,343,success,None,10/Aug/2026:11:58:04.696557,10/Aug/2026:11:58:04.913725,0.2172
5,10,39,success,None,10/Aug/2026:11:58:04.914877,10/Aug/2026:11:58:05.186446,0.2716
5,10,24,success,None,10/Aug/2026:11:58:04.914728,10/Aug/2026:11:58:05.233818,0.3191
5,10,50,success,None,10/Aug/2026:11:58:04.915142,10/Aug/2026:11:58:05.289020,0.3739
5,10,65,success,None,10/Aug/2026:11:58:04.915332,10/Aug/2026:11:58:05.304351,0.3890
5,10,85,success,None,10/Aug/2026:11:58:05.186794,10/Aug/2026:11:58:05.379850,0.1931
