maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies,HTTPS Byte Ranges,HTTPSRequestIDs
1,4,208,success,None,24/Jul/2026:12:39:56.781476,24/Jul/2026:12:39:57.605066,0.8236,5,24/Jul/2026:12:39:55.637134;24/Jul/2026:12:39:54.000829;24/Jul/2026:12:39:51.783671;24/Jul/2026:12:39:54.818807;24/Jul/2026:12:39:56.782129,1.1517;2.7891;5.0097;1.9838;0.2958,bytes=831132034-831223478;bytes=777071372-777974563;bytes=675646303-675754357;bytes=802021126-802106002;bytes=849489240-850406661,4cc30b93;c0df3507;59105433;891d5bae;617aa024
1,4,216,success,None,24/Jul/2026:12:39:57.605308,24/Jul/2026:12:39:58.452086,0.8468,4,24/Jul/2026:12:39:54.818439;24/Jul/2026:12:39:57.607191;24/Jul/2026:12:39:54.000769;24/Jul/2026:12:39:57.606104,2.7936;0.0181;3.6400;0.0382,bytes=795285595-796181225;bytes=896800876-896891274;bytes=776163132-777071371;bytes=884601011-884707906,2af67270;2a18853b;9df697c9;6796dc20
1,4,222,success,None,24/Jul/2026:12:39:58.452334,24/Jul/2026:12:39:59.298620,0.8463,8,24/Jul/2026:12:39:56.782762;24/Jul/2026:12:39:58.454179;24/Jul/2026:12:39:57.606303;24/Jul/2026:12:39:55.636762;24/Jul/2026:12:39:58.452836;24/Jul/2026:12:39:55.636603;24/Jul/2026:12:39:58.453694;24/Jul/2026:12:39:57.606872,1.6971;0.0866;1.0072;2.9791;0.1691;2.9878;0.1775;1.0349,bytes=855671366-855866604;bytes=917957362-918141925;bytes=888578476-888747606;bytes=830943653-831033454;bytes=906430611-907318976;bytes=827170828-827264790;bytes=913792537-913976409;bytes=889863791-890744408,5a0b4044;a1f77551;4c3bdccc;0ed0471b;762a3f60;f031d7b6;5076d049;ad7fcc67
1,4,230,success,None,24/Jul/2026:12:39:59.298889,24/Jul/2026:12:40:00.168228,0.8693,3,24/Jul/2026:12:39:58.453883;24/Jul/2026:12:39:58.453759;24/Jul/2026:12:39:56.782818,0.8531;0.8603;2.5450,bytes=913976410-914849595;bytes=917562539-917678111;bytes=855866605-856077754,0a188256;229c08dc;7132910d
1,4,235,success,None,24/Jul/2026:12:40:00.168473,24/Jul/2026:12:40:00.821432,0.6530,8,24/Jul/2026:12:39:56.783200;24/Jul/2026:12:39:58.454237;24/Jul/2026:12:39:54.819161;24/Jul/2026:12:40:00.169557;24/Jul/2026:12:39:58.453997;24/Jul/2026:12:39:59.300418;24/Jul/2026:12:39:58.453059;24/Jul/2026:12:39:58.453131,3.3924;1.7355;5.3739;0.0329;1.7554;0.9169;1.7899;1.7919,bytes=859906909-860111158;bytes=921753407-921862905;bytes=802287696-802474179;bytes=966780863-966886278;bytes=915733969-916648941;bytes=946152956-947055887;bytes=909375215-909567985;bytes=909567986-909777505,26f7c023;1abfc97e;a0602731;c84be2ef;700b5cd7;05686ba1;62400a11;5deaef39
1,4,245,success,None,24/Jul/2026:12:40:00.821687,24/Jul/2026:12:40:01.688409,0.8667,3,24/Jul/2026:12:40:00.169872;24/Jul/2026:12:39:59.300780;24/Jul/2026:12:40:00.169687,0.6625;1.5363;0.6810,bytes=966886279-967050402;bytes=953982742-954081266;bytes=963957539-964839512,47372dc5;ee5692d0;4e9a3dc5
1,4,259,success,None,24/Jul/2026:12:40:01.688681,24/Jul/2026:12:40:02.568993,0.8803,1,24/Jul/2026:12:40:00.169624,1.5490,bytes=963077047-963957538,2c9de3c3
1,4,273,success,None,24/Jul/2026:12:40:02.569260,24/Jul/2026:12:40:03.419228,0.8500,6,24/Jul/2026:12:39:59.300293;24/Jul/2026:12:40:00.822763;24/Jul/2026:12:40:01.690014;24/Jul/2026:12:40:00.822892;24/Jul/2026:12:40:02.571091;24/Jul/2026:12:39:59.300591,3.2774;1.7554;0.8887;1.7577;0.0166;3.2873,bytes=949773605-949864187;bytes=1007629604-1007730427;bytes=1066111355-1066316726;bytes=1004032767-1004913911;bytes=1127617439-1127711780;bytes=948878952-949773604,11e2d521;9b0b5846;020d8df9;9b3c705c;36a05a31;6fb9696a
1,4,281,success,None,24/Jul/2026:12:40:03.419470,24/Jul/2026:12:40:04.276098,0.8566,8,24/Jul/2026:12:40:02.571024;24/Jul/2026:12:40:00.169106;24/Jul/2026:12:40:01.690413;24/Jul/2026:12:40:01.690577;24/Jul/2026:12:40:02.571216;24/Jul/2026:12:40:02.570723;24/Jul/2026:12:40:03.420504;24/Jul/2026:12:40:02.570233,0.8561;3.2588;1.7377;1.7430;0.8642;0.8695;0.0264;0.8787,bytes=1127510188-1127617438;bytes=961555276-962468536;bytes=1070167399-1070266394;bytes=1074098703-1074215422;bytes=1131494046-1131662979;bytes=1127411820-1127510187;bytes=1156067608-1156165204;bytes=1123441212-1123547576,26fe759a;5c0db3d4;8b6bc102;1a5f150d;718b9980;bd9dc1b2;d926b4ab;21b6811a
1,4,288,success,None,24/Jul/2026:12:40:04.276346,24/Jul/2026:12:40:04.956269,0.6799,4,24/Jul/2026:12:40:01.689032;24/Jul/2026:12:40:03.421128;24/Jul/2026:12:39:51.783332;24/Jul/2026:12:40:03.419810,2.5961;0.8668;12.5056;0.8834,bytes=1057865718-1058751852;bytes=1158359809-1159275300;bytes=669698554-670606261;bytes=1148106083-1149008867,6e9fc3f2;691094c5;c0061cf3;a5a1a597
1,4,298,success,None,24/Jul/2026:12:40:04.956515,24/Jul/2026:12:40:05.811833,0.8553,2,24/Jul/2026:12:40:04.278289;24/Jul/2026:12:40:04.277613,0.6852;0.7158,bytes=1189301666-1189414011;bytes=1183042657-1183952770,38c74167;8cf84357
1,4,307,success,None,24/Jul/2026:12:40:05.812079,24/Jul/2026:12:40:06.858741,1.0467,2,24/Jul/2026:12:40:03.420386;24/Jul/2026:12:40:04.277551,2.4047;1.5641,bytes=1152133994-1152351945;bytes=1182162349-1183042656,83f074f8;81f9f2fb
1,4,312,success,None,24/Jul/2026:12:40:06.858987,24/Jul/2026:12:40:07.723762,0.8648,5,24/Jul/2026:12:40:04.277810;24/Jul/2026:12:40:03.421015;24/Jul/2026:12:39:58.453376;24/Jul/2026:12:40:06.860470;24/Jul/2026:12:40:06.860960,2.5889;3.4602;8.4285;0.0224;0.0349,bytes=1185275506-1185387123;bytes=1156590785-1157476670;bytes=909777506-910654116;bytes=1288120322-1288269205;bytes=1292221362-1292332168,6a60f887;d816f506;33186627;d5cc4c64;a61e39a3
1,4,332,success,None,24/Jul/2026:12:40:07.724017,24/Jul/2026:12:40:08.702201,0.9782,3,24/Jul/2026:12:40:05.813189;24/Jul/2026:12:40:06.860091;24/Jul/2026:12:40:07.726186,1.9176;0.8857;0.0224,bytes=1260745815-1261622240;bytes=1281237338-1282119680;bytes=1371084386-1371186797,58918378;cb391c30;0f555ac8
1,4,339,success,None,24/Jul/2026:12:40:08.702431,24/Jul/2026:12:40:09.790532,1.0881,4,24/Jul/2026:12:40:03.420906;24/Jul/2026:12:40:07.726249;24/Jul/2026:12:40:07.725482;24/Jul/2026:12:40:07.725865,5.2892;0.9847;0.9871;1.0002,bytes=1160189423-1160305916;bytes=1374767610-1374868609;bytes=1364900580-1365800136;bytes=1367179170-1368089298,d0a0420c;00f1cb9f;da5e6f3a;31ced9d6
1,4,345,success,None,24/Jul/2026:12:40:09.790781,24/Jul/2026:12:40:11.315125,1.5243,3,24/Jul/2026:12:40:06.859955;24/Jul/2026:12:40:07.726314;24/Jul/2026:12:40:08.703417,2.9562;2.0903;1.1210,bytes=1284071790-1284178328;bytes=1374868610-1374968118;bytes=1395112257-1395196194,e8718d15;f3c4e3b9;d77c840a
1,4,353,success,None,24/Jul/2026:12:40:11.315366,24/Jul/2026:12:40:12.176870,0.8615,6,24/Jul/2026:12:40:09.792016;24/Jul/2026:12:40:08.703046;24/Jul/2026:12:40:07.725994;24/Jul/2026:12:40:07.725327;24/Jul/2026:12:40:06.859714;24/Jul/2026:12:40:08.703952,1.5300;2.6205;3.5978;3.5985;4.4695;2.6328,bytes=1419253503-1420154834;bytes=1389990828-1390890488;bytes=1368966774-1369873756;bytes=1363111433-1364026104;bytes=1280133995-1280244503;bytes=1395602688-1396497415,3d3ab931;2e112f9b;94c2fab6;fa6f8e1a;e6c1c8b6;9a335eb2
1,4,359,success,None,24/Jul/2026:12:40:12.177112,24/Jul/2026:12:40:13.212328,1.0352,5,24/Jul/2026:12:40:09.791621;24/Jul/2026:12:40:11.317259;24/Jul/2026:12:40:11.316481;24/Jul/2026:12:40:08.703663;24/Jul/2026:12:40:12.178616,2.3922;0.8682;0.8914;3.5057;0.0395,bytes=1416425565-1416558525;bytes=1461484147-1461600815;bytes=1451080700-1452005269;bytes=1394118842-1395014151;bytes=1481853963-1482043845,7bf380f8;18b6f4f8;8a983927;44b13714;724362a3
1,4,368,success,None,24/Jul/2026:12:40:13.212555,24/Jul/2026:12:40:14.482389,1.2698,4,24/Jul/2026:12:40:08.703541;24/Jul/2026:12:40:12.179071;24/Jul/2026:12:40:12.179015;24/Jul/2026:12:40:13.214251,4.5226;1.0577;1.0617;0.0322,bytes=1392289528-1393191098;bytes=1486029279-1486160245;bytes=1482337204-1482454921;bytes=1523393465-1523499285,6da106db;b23e2cb2;54e27d16;b8aeb70a
1,4,374,success,None,24/Jul/2026:12:40:14.482631,24/Jul/2026:12:40:15.232022,0.7494,5,24/Jul/2026:12:40:13.213417;24/Jul/2026:12:40:13.214032;24/Jul/2026:12:40:14.484159;24/Jul/2026:12:40:04.957585;24/Jul/2026:12:40:11.315974,1.2764;1.2806;0.0177;9.5511;3.2099,bytes=1515370634-1515493012;bytes=1517533739-1518445188;bytes=1543997921-1544084197;bytes=1222581336-1223478369;bytes=1447754491-1448667937,032a6e4e;a8e1be5d;8b610e2b;81a071b4;673907a7
1,4,383,success,None,24/Jul/2026:12:40:15.232274,24/Jul/2026:12:40:16.044062,0.8118,7,24/Jul/2026:12:40:11.316217;24/Jul/2026:12:40:13.213922;24/Jul/2026:12:40:15.233088;24/Jul/2026:12:40:15.233748;24/Jul/2026:12:40:15.233243;24/Jul/2026:12:40:12.178197;24/Jul/2026:12:40:15.233948,3.9246;2.0320;0.0290;0.0289;0.0330;3.0971;0.0518,bytes=1452920192-1453024519;bytes=1515734284-1516642042;bytes=1577230199-1577428286;bytes=1577597876-1577714637;bytes=1577428287-1577597875;bytes=1474134359-1475031751;bytes=1581618814-1581797739,d3584521;d137ff0e;b8c99b68;5138940e;1fd1434e;8b65d0ad;df03d7cb
1,4,394,success,None,24/Jul/2026:12:40:16.044305,24/Jul/2026:12:40:17.208415,1.1641,8,24/Jul/2026:12:40:14.482976;24/Jul/2026:12:40:04.957646;24/Jul/2026:12:40:15.232886;24/Jul/2026:12:40:14.483131;24/Jul/2026:12:40:06.860780;24/Jul/2026:12:40:16.046271;24/Jul/2026:12:40:06.860899;24/Jul/2026:12:40:15.234131,1.5687;11.0952;0.8224;1.5738;9.2020;0.0193;9.2106;0.8476,bytes=1532210324-1533108244;bytes=1223478370-1224351173;bytes=1572319047-1573219185;bytes=1533108245-1534002611;bytes=1288272862-1288385153;bytes=1631518880-1631706528;bytes=1292101114-1292221361;bytes=1579605578-1580516103,ac37767a;36d6b40f;a9a75311;a0f80a02;e43c477c;e04c6061;28687620;376fed19
1,4,400,success,None,24/Jul/2026:12:40:17.208658,24/Jul/2026:12:40:18.103282,0.8946,3,24/Jul/2026:12:40:16.046213;24/Jul/2026:12:40:11.316415;24/Jul/2026:12:40:16.045136,1.1699;5.9003;1.2033,bytes=1631293355-1631518879;bytes=1450195658-1451080699;bytes=1619379556-1619476434,8c890409;3f5bbf31;7245a743
