maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies
2,5,415,success,None,22/Jul/2026:11:42:21.623438,22/Jul/2026:11:42:22.260641,0.6372,6,22/Jul/2026:11:42:18.519607;22/Jul/2026:11:42:18.519668;22/Jul/2026:11:42:18.520009;22/Jul/2026:11:42:21.307963;22/Jul/2026:11:42:19.672579;22/Jul/2026:11:42:17.637013,3.1095;3.1114;3.1116;0.3268;1.9679;4.0057
3,5,25,success,None,22/Jul/2026:11:42:22.261917,22/Jul/2026:11:42:22.890129,0.6282,14,22/Jul/2026:11:42:16.539201;22/Jul/2026:11:42:17.147749;22/Jul/2026:11:42:21.451454;22/Jul/2026:11:42:20.809535;22/Jul/2026:11:42:18.519134;22/Jul/2026:11:42:17.147059;22/Jul/2026:11:42:20.358476;22/Jul/2026:11:42:20.359010;22/Jul/2026:11:42:21.626246;22/Jul/2026:11:42:22.263410;22/Jul/2026:11:42:22.263767;22/Jul/2026:11:42:22.263925;22/Jul/2026:11:42:21.625011;22/Jul/2026:11:42:22.265234,5.7464;5.1379;0.8342;1.4761;3.7666;5.1386;1.9285;1.9310;0.6686;0.0345;0.0488;0.0587;0.7059;0.0961
3,5,51,success,None,22/Jul/2026:11:42:22.262132,22/Jul/2026:11:42:22.922562,0.6604,17,22/Jul/2026:11:42:16.539201;22/Jul/2026:11:42:17.147749;22/Jul/2026:11:42:21.451454;22/Jul/2026:11:42:20.809535;22/Jul/2026:11:42:18.519134;22/Jul/2026:11:42:17.147059;22/Jul/2026:11:42:20.358476;22/Jul/2026:11:42:20.359010;22/Jul/2026:11:42:21.626246;22/Jul/2026:11:42:22.263410;22/Jul/2026:11:42:22.263767;22/Jul/2026:11:42:22.263925;22/Jul/2026:11:42:21.625011;22/Jul/2026:11:42:22.265234;22/Jul/2026:11:42:22.265331;22/Jul/2026:11:42:22.263567;22/Jul/2026:11:42:17.148518,5.7464;5.1379;0.8342;1.4761;3.7666;5.1386;1.9285;1.9310;0.6686;0.0345;0.0488;0.0587;0.7059;0.0961;0.6405;0.6461;5.7612
3,5,76,success,None,22/Jul/2026:11:42:22.890480,22/Jul/2026:11:42:23.738674,0.8482,11,22/Jul/2026:11:42:22.265331;22/Jul/2026:11:42:22.263567;22/Jul/2026:11:42:17.148518;22/Jul/2026:11:42:22.891621;22/Jul/2026:11:42:22.893981;22/Jul/2026:11:42:22.893438;22/Jul/2026:11:42:17.147701;22/Jul/2026:11:42:22.892300;22/Jul/2026:11:42:22.924915;22/Jul/2026:11:42:22.925726;22/Jul/2026:11:42:22.925282,0.6405;0.6461;5.7612;0.0420;0.0422;0.0450;5.7929;0.0492;0.0379;0.0401;0.3723
3,5,133,success,None,22/Jul/2026:11:42:22.922861,22/Jul/2026:11:42:23.742602,0.8197,8,22/Jul/2026:11:42:22.891621;22/Jul/2026:11:42:22.893981;22/Jul/2026:11:42:22.893438;22/Jul/2026:11:42:17.147701;22/Jul/2026:11:42:22.892300;22/Jul/2026:11:42:22.924915;22/Jul/2026:11:42:22.925726;22/Jul/2026:11:42:22.925282,0.0420;0.0422;0.0450;5.7929;0.0492;0.0379;0.0401;0.3723
3,5,61,success,None,22/Jul/2026:11:42:22.262258,22/Jul/2026:11:42:23.947176,1.6849,29,22/Jul/2026:11:42:16.539201;22/Jul/2026:11:42:17.147749;22/Jul/2026:11:42:21.451454;22/Jul/2026:11:42:20.809535;22/Jul/2026:11:42:18.519134;22/Jul/2026:11:42:17.147059;22/Jul/2026:11:42:20.358476;22/Jul/2026:11:42:20.359010;22/Jul/2026:11:42:21.626246;22/Jul/2026:11:42:22.263410;22/Jul/2026:11:42:22.263767;22/Jul/2026:11:42:22.263925;22/Jul/2026:11:42:21.625011;22/Jul/2026:11:42:22.265234;22/Jul/2026:11:42:22.265331;22/Jul/2026:11:42:22.263567;22/Jul/2026:11:42:17.148518;22/Jul/2026:11:42:22.891621;22/Jul/2026:11:42:22.893981;22/Jul/2026:11:42:22.893438;22/Jul/2026:11:42:17.147701;22/Jul/2026:11:42:22.892300;22/Jul/2026:11:42:22.924915;22/Jul/2026:11:42:22.925726;22/Jul/2026:11:42:22.925282;22/Jul/2026:11:42:22.924998;22/Jul/2026:11:42:22.892933;22/Jul/2026:11:42:22.924591;22/Jul/2026:11:42:20.358229,5.7464;5.1379;0.8342;1.4761;3.7666;5.1386;1.9285;1.9310;0.6686;0.0345;0.0488;0.0587;0.7059;0.0961;0.6405;0.6461;5.7612;0.0420;0.0422;0.0450;5.7929;0.0492;0.0379;0.0401;0.3723;0.8577;0.8912;0.8630;3.4679
3,5,151,success,None,22/Jul/2026:11:42:23.738990,22/Jul/2026:11:42:24.277583,0.5386,9,22/Jul/2026:11:42:22.924998;22/Jul/2026:11:42:22.892933;22/Jul/2026:11:42:22.924591;22/Jul/2026:11:42:20.358229;22/Jul/2026:11:42:22.263301;22/Jul/2026:11:42:23.741938;22/Jul/2026:11:42:23.744716;22/Jul/2026:11:42:20.325542;22/Jul/2026:11:42:23.950291,0.8577;0.8912;0.8630;3.4679;1.7164;0.2393;0.2370;3.6635;0.0482
3,5,161,success,None,22/Jul/2026:11:42:23.742864,22/Jul/2026:11:42:24.283684,0.5408,9,22/Jul/2026:11:42:22.924998;22/Jul/2026:11:42:22.892933;22/Jul/2026:11:42:22.924591;22/Jul/2026:11:42:20.358229;22/Jul/2026:11:42:22.263301;22/Jul/2026:11:42:23.741938;22/Jul/2026:11:42:23.744716;22/Jul/2026:11:42:20.325542;22/Jul/2026:11:42:23.950291,0.8577;0.8912;0.8630;3.4679;1.7164;0.2393;0.2370;3.6635;0.0482
3,5,203,success,None,22/Jul/2026:11:42:23.947549,22/Jul/2026:11:42:24.700869,0.7533,14,22/Jul/2026:11:42:22.263301;22/Jul/2026:11:42:23.741938;22/Jul/2026:11:42:23.744716;22/Jul/2026:11:42:20.325542;22/Jul/2026:11:42:23.950291;22/Jul/2026:11:42:19.673303;22/Jul/2026:11:42:22.925457;22/Jul/2026:11:42:22.264672;22/Jul/2026:11:42:19.674016;22/Jul/2026:11:42:24.279727;22/Jul/2026:11:42:23.741079;22/Jul/2026:11:42:16.083824;22/Jul/2026:11:42:19.672371;22/Jul/2026:11:42:24.284943,1.7164;0.2393;0.2370;3.6635;0.0482;4.6139;1.3704;2.0314;4.6257;0.0290;0.5680;8.2260;4.6385;0.0359
3,5,212,success,None,22/Jul/2026:11:42:24.277915,22/Jul/2026:11:42:24.728848,0.4509,17,22/Jul/2026:11:42:19.673303;22/Jul/2026:11:42:22.925457;22/Jul/2026:11:42:22.264672;22/Jul/2026:11:42:19.674016;22/Jul/2026:11:42:24.279727;22/Jul/2026:11:42:23.741079;22/Jul/2026:11:42:16.083824;22/Jul/2026:11:42:19.672371;22/Jul/2026:11:42:24.284943;22/Jul/2026:11:42:24.704209;22/Jul/2026:11:42:24.280751;22/Jul/2026:11:42:22.263013;22/Jul/2026:11:42:23.739793;22/Jul/2026:11:42:24.278394;22/Jul/2026:11:42:23.741886;22/Jul/2026:11:42:24.280471;22/Jul/2026:11:42:22.891515,4.6139;1.3704;2.0314;4.6257;0.0290;0.5680;8.2260;4.6385;0.0359;0.0060;0.4301;2.4497;0.9729;0.4363;0.9744;0.4417;1.8341
