maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies,HTTPS Byte RangesHTTPSRequestIDs
2,5,254,success,None,22/Jul/2026:16:43:06.515501,22/Jul/2026:16:43:07.535920,1.0204,11,22/Jul/2026:16:43:04.252378;22/Jul/2026:16:43:06.517151;22/Jul/2026:16:43:04.608592;22/Jul/2026:16:43:04.253142;22/Jul/2026:16:43:04.608320;22/Jul/2026:16:43:06.284008;22/Jul/2026:16:43:06.518461;22/Jul/2026:16:43:04.608051;22/Jul/2026:16:43:06.519011;22/Jul/2026:16:43:06.518594;22/Jul/2026:16:43:05.305820,2.2707;0.0081;1.9173;2.2751;1.9225;0.2630;0.0427;1.9568;0.0531;0.0668;1.2878,bytes=552680388-552758884;bytes=1044733553-1044835500;bytes=587835498-588740464;bytes=552758885-552830568;bytes=589628499-589797897;bytes=952136963-953072214;bytes=1048931149-1049125980;bytes=583873172-584776567;bytes=1053170919-1053379429;bytes=1052972426-1053068010;bytes=780157421-781065422,fbbc7703;a981f209;9c3a3a8f;eb72a53c;07672578;ed1c4731;9fba6021;6b503778;e71bc036;cb082831;453f3354
2,5,307,success,None,22/Jul/2026:16:43:07.536260,22/Jul/2026:16:43:07.994202,0.4579,2,22/Jul/2026:16:43:07.498357;22/Jul/2026:16:43:06.518875,0.0504;1.0322,bytes=1234726708-1234834076;bytes=1051135657-1052070016,8b08253b;00e4ed46
2,5,299,success,None,22/Jul/2026:16:43:07.496205,22/Jul/2026:16:43:08.359494,0.8633,4,22/Jul/2026:16:43:07.498357;22/Jul/2026:16:43:06.518875;22/Jul/2026:16:43:05.398404;22/Jul/2026:16:43:06.518523,0.0504;1.0322;2.6076;1.4893,bytes=1234726708-1234834076;bytes=1051135657-1052070016;bytes=814901188-815114826;bytes=1049125981-1049339161,8b08253b;00e4ed46;149f0a03;0b40d936
2,5,351,success,None,22/Jul/2026:16:43:07.994513,22/Jul/2026:16:43:08.792261,0.7977,4,22/Jul/2026:16:43:05.398404;22/Jul/2026:16:43:06.518523;22/Jul/2026:16:43:06.554805;22/Jul/2026:16:43:07.498414,2.6076;1.4893;1.8313;0.8931,bytes=814901188-815114826;bytes=1049125981-1049339161;bytes=1109894902-1110801263;bytes=1238423361-1238592089,149f0a03;0b40d936;1004e7ab;a5ec6691
2,5,388,success,None,22/Jul/2026:16:43:08.359818,22/Jul/2026:16:43:09.026284,0.6665,9,22/Jul/2026:16:43:06.554805;22/Jul/2026:16:43:07.498414;22/Jul/2026:16:43:07.497125;22/Jul/2026:16:43:07.537310;22/Jul/2026:16:43:07.995680;22/Jul/2026:16:43:07.997023;22/Jul/2026:16:43:07.996896;22/Jul/2026:16:43:08.361092;22/Jul/2026:16:43:07.498128,1.8313;0.8931;1.3025;1.2624;0.8055;0.8068;0.8117;0.4527;1.3174,bytes=1109894902-1110801263;bytes=1238423361-1238592089;bytes=1230313675-1230454211;bytes=1263462555-1263576512;bytes=1440839659-1441735757;bytes=1453122934-1453329839;bytes=1451080700-1452005269;bytes=1596165510-1597096777;bytes=1231545751-1232433619,1004e7ab;a5ec6691;7ae29ea7;5fe336fd;28b66737;5f7a718e;e5ae5e74;0760d8b8;80b84a79
2,5,410,success,None,22/Jul/2026:16:43:08.792594,22/Jul/2026:16:43:09.262790,0.4702,11,22/Jul/2026:16:43:07.497125;22/Jul/2026:16:43:07.537310;22/Jul/2026:16:43:07.995680;22/Jul/2026:16:43:07.997023;22/Jul/2026:16:43:07.996896;22/Jul/2026:16:43:08.361092;22/Jul/2026:16:43:07.498128;22/Jul/2026:16:43:07.995603;22/Jul/2026:16:43:05.979295;22/Jul/2026:16:43:07.994857;22/Jul/2026:16:43:08.794740,1.3025;1.2624;0.8055;0.8068;0.8117;0.4527;1.3174;1.0411;3.0666;1.0519;0.2667,bytes=1230313675-1230454211;bytes=1263462555-1263576512;bytes=1440839659-1441735757;bytes=1453122934-1453329839;bytes=1451080700-1452005269;bytes=1596165510-1597096777;bytes=1231545751-1232433619;bytes=1444533544-1444612863;bytes=888747607-888852077;bytes=1436857923-1437758448;bytes=1701767563-1701877804,7ae29ea7;5fe336fd;28b66737;5f7a718e;e5ae5e74;0760d8b8;80b84a79;91239f59;31e24c80;0da0a2bd;e8165273
2,5,421,success,None,22/Jul/2026:16:43:09.026584,22/Jul/2026:16:43:09.302467,0.2759,4,22/Jul/2026:16:43:07.995603;22/Jul/2026:16:43:05.979295;22/Jul/2026:16:43:07.994857;22/Jul/2026:16:43:08.794740,1.0411;3.0666;1.0519;0.2667,bytes=1444533544-1444612863;bytes=888747607-888852077;bytes=1436857923-1437758448;bytes=1701767563-1701877804,91239f59;31e24c80;0da0a2bd;e8165273
3,5,122,success,None,22/Jul/2026:16:43:09.316477,22/Jul/2026:16:43:10.085665,0.7692,11,22/Jul/2026:16:43:08.793171;22/Jul/2026:16:43:09.028605;22/Jul/2026:16:43:01.046156;22/Jul/2026:16:42:59.531408;22/Jul/2026:16:43:05.305890;22/Jul/2026:16:43:07.498062;22/Jul/2026:16:43:06.519140;22/Jul/2026:16:43:09.317755;22/Jul/2026:16:43:09.319798;22/Jul/2026:16:43:09.320733;22/Jul/2026:16:43:09.028985,0.5473;0.3119;8.2943;9.8091;4.0347;1.8425;2.8393;0.0547;0.0676;0.0674;0.3676,bytes=1683283601-1684190021;bytes=1736041528-1736939359;bytes=1223478370-1224351173;bytes=1053170919-1053379429;bytes=781065423-781964887;bytes=1230653470-1231545750;bytes=1057237479-1057349896;bytes=503880045-503966784;bytes=516212959-516306813;bytes=548979989-549086862;bytes=1742869509-1742961993,1f863260;f55aeb6a;b25306ad;aa787231;e538727b;93e11347;1f70229b;85c340a7;65c9c4ec;05317c82;60cace07
3,5,133,success,None,22/Jul/2026:16:43:09.316649,22/Jul/2026:16:43:10.267842,0.9512,16,22/Jul/2026:16:43:08.793171;22/Jul/2026:16:43:09.028605;22/Jul/2026:16:43:01.046156;22/Jul/2026:16:42:59.531408;22/Jul/2026:16:43:05.305890;22/Jul/2026:16:43:07.498062;22/Jul/2026:16:43:06.519140;22/Jul/2026:16:43:09.317755;22/Jul/2026:16:43:09.319798;22/Jul/2026:16:43:09.320733;22/Jul/2026:16:43:09.028985;22/Jul/2026:16:43:09.320531;22/Jul/2026:16:43:02.252027;22/Jul/2026:16:43:05.397355;22/Jul/2026:16:43:09.320996;22/Jul/2026:16:43:06.552840,0.5473;0.3119;8.2943;9.8091;4.0347;1.8425;2.8393;0.0547;0.0676;0.0674;0.3676;0.7745;7.8446;4.6995;0.7787;3.5470,bytes=1683283601-1684190021;bytes=1736041528-1736939359;bytes=1223478370-1224351173;bytes=1053170919-1053379429;bytes=781065423-781964887;bytes=1230653470-1231545750;bytes=1057237479-1057349896;bytes=503880045-503966784;bytes=516212959-516306813;bytes=548979989-549086862;bytes=1742869509-1742961993;bytes=546956972-547857232;bytes=1439564341-1440460176;bytes=810403114-810498889;bytes=549988999-550886409;bytes=1094528005-1095426904,1f863260;f55aeb6a;b25306ad;aa787231;e538727b;93e11347;1f70229b;85c340a7;65c9c4ec;05317c82;60cace07;033bcfab;4140e6e3;72137801;8148b97e;80269d9d
3,5,191,success,None,22/Jul/2026:16:43:10.086018,22/Jul/2026:16:43:10.984552,0.8985,10,22/Jul/2026:16:43:09.320531;22/Jul/2026:16:43:02.252027;22/Jul/2026:16:43:05.397355;22/Jul/2026:16:43:09.320996;22/Jul/2026:16:43:06.552840;22/Jul/2026:16:43:08.360944;22/Jul/2026:16:43:08.794066;22/Jul/2026:16:43:06.283118;22/Jul/2026:16:43:09.318803;22/Jul/2026:16:43:10.086385,0.7745;7.8446;4.6995;0.7787;3.5470;1.9148;1.4827;3.9955;0.9638;0.2781,bytes=546956972-547857232;bytes=1439564341-1440460176;bytes=810403114-810498889;bytes=549988999-550886409;bytes=1094528005-1095426904;bytes=1594386911-1595275499;bytes=1691312948-1692232697;bytes=946040322-946152955;bytes=505962233-506882623;bytes=778371146-779274126,033bcfab;4140e6e3;72137801;8148b97e;80269d9d;d97aed1a;73b37c48;385b789c;025f41fc;70120ff4
