maxWorkers,chunkSize,StartIndex,Status,Error,StartClock,EndClock,Slice_Latency,HTTPSRequestCount,HTTPSRequestClocks,HTTPSRequestLatencies,HTTPS Byte Ranges,HTTPSRequestIDs
2,5,152,success,None,22/Jul/2026:17:30:53.417179,22/Jul/2026:17:30:53.578969,0.1618,2,22/Jul/2026:17:30:52.932584;22/Jul/2026:17:30:53.184890,0.5332;0.3096,bytes=58327894-58857907;bytes=68769058-69292457,0376a80f;f3fcf0d8
2,5,159,success,None,22/Jul/2026:17:30:53.455691,22/Jul/2026:17:30:53.657586,0.2019,2,22/Jul/2026:17:30:52.932584;22/Jul/2026:17:30:53.184890,0.5332;0.3096,bytes=58327894-58857907;bytes=68769058-69292457,0376a80f;f3fcf0d8
2,5,179,success,None,22/Jul/2026:17:30:53.578995,22/Jul/2026:17:30:53.714776,0.1358,1,22/Jul/2026:17:30:53.579238,0.1184,bytes=101000600-101515516,d2414d65
2,5,190,success,None,22/Jul/2026:17:30:53.657615,22/Jul/2026:17:30:53.845555,0.1879,1,22/Jul/2026:17:30:53.579238,0.1184,bytes=101000600-101515516,d2414d65
2,5,197,success,None,22/Jul/2026:17:30:53.714817,22/Jul/2026:17:30:53.854862,0.1400,0,None,None,None,None
2,5,204,success,None,22/Jul/2026:17:30:53.845584,22/Jul/2026:17:30:53.996749,0.1512,4,22/Jul/2026:17:30:52.756537;22/Jul/2026:17:30:48.144201;22/Jul/2026:17:30:53.657864;22/Jul/2026:17:30:53.715212,1.1251;5.7431;0.2401;0.1875,bytes=54169574-54687583;bytes=102539559-103059483;bytes=106737279-107269346;bytes=111467305-111997627,aaba150b;a90c98d9;c29e9ee2;d3ffb03e
2,5,215,success,None,22/Jul/2026:17:30:53.854881,22/Jul/2026:17:30:54.039878,0.1850,4,22/Jul/2026:17:30:52.756537;22/Jul/2026:17:30:48.144201;22/Jul/2026:17:30:53.657864;22/Jul/2026:17:30:53.715212,1.1251;5.7431;0.2401;0.1875,bytes=54169574-54687583;bytes=102539559-103059483;bytes=106737279-107269346;bytes=111467305-111997627,aaba150b;a90c98d9;c29e9ee2;d3ffb03e
2,5,223,success,None,22/Jul/2026:17:30:53.996781,22/Jul/2026:17:30:54.129854,0.1331,2,22/Jul/2026:17:30:45.648373;22/Jul/2026:17:30:53.214628,8.3925;0.8761,bytes=40618319-41137545;bytes=72423249-72951974,b5d5f9dc;857abf94
2,5,231,success,None,22/Jul/2026:17:30:54.039908,22/Jul/2026:17:30:54.230480,0.1906,3,22/Jul/2026:17:30:45.648373;22/Jul/2026:17:30:53.214628;22/Jul/2026:17:30:53.845975,8.3925;0.8761;0.3286,bytes=40618319-41137545;bytes=72423249-72951974;bytes=115646707-116145025,b5d5f9dc;857abf94;d21b2f46
2,5,243,success,None,22/Jul/2026:17:30:54.129883,22/Jul/2026:17:30:54.254960,0.1251,1,22/Jul/2026:17:30:53.845975,0.3286,bytes=115646707-116145025,d21b2f46
